date,nickel_mcx_inr
2026-02-12,1613.93
2026-02-13,1614.66
2026-02-14,1621.94
2026-02-15,1663.41
2026-02-16,1662.68
2026-02-17,1635.4
2026-02-18,1649.95
2026-02-19,1616.84
2026-02-20,1549.9
2026-02-21,1537.17
2026-02-22,1550.63
2026-02-23,1571.73
2026-02-24,1580.46
2026-02-25,1586.28
2026-02-26,1592.1
2026-02-27,1603.75
2026-02-28,1625.94
2026-03-01,1643.77
2026-03-02,1640.13
2026-03-03,1635.76
2026-03-04,1633.21
2026-03-05,1637.58
2026-03-06,1627.76
2026-03-07,1619.75
2026-03-08,1635.76
2026-03-09,1638.67
2026-03-10,1636.49
2026-03-11,1626.3
2026-03-12,1635.76
2026-03-13,1647.4
2026-03-14,1647.4
2026-03-15,1641.58
2026-03-16,1634.31
2026-03-17,1625.21
2026-03-18,1616.12
2026-03-19,1599.38
2026-03-20,1580.83
2026-03-22,1577.55
2026-03-23,1577.55
2026-03-24,1588.47
2026-03-25,1602.65
2026-03-26,1621.57
2026-03-27,1619.75
2026-03-28,1621.21
2026-03-29,1629.21
2026-03-30,1654.32
2026-03-31,1664.87
2026-04-01,1663.77
2026-04-02,1667.05
2026-04-03,1660.86
2026-04-04,1643.4
2026-04-05,1637.94
2026-04-06,1632.85
2026-04-07,1627.03
2026-04-08,1633.94
2026-04-09,1637.22
2026-04-10,1637.94
2026-04-11,1632.85
2026-04-12,1643.04
2026-04-13,1665.59
2026-04-14,1692.52
2026-04-15,1719.8
2026-04-16,1741.99
2026-04-17,1741.99
2026-04-18,1733.26
2026-04-19,1721.98
2026-04-20,1724.53
2026-04-21,1720.89
2026-04-22,1715.8
2026-04-23,1725.62
2026-04-24,1730.35
2026-04-25,1736.17
2026-04-26,1747.82
2026-04-27,1784.92
2026-04-28,1814.39
2026-04-29,1827.13
2026-04-30,1819.85
2026-05-01,1813.3
2026-05-02,1829.31
2026-05-03,1839.5
2026-05-04,1851.14
2026-05-05,1864.23
2026-05-06,1868.6
2026-05-07,1864.23
2026-05-08,1842.41
2026-05-09,1824.94
2026-05-10,1816.58
2026-05-11,1826.4
2026-05-12,1824.94
